STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,DOMAIN,Working domain,SEX,Sex,WORK_STATUS,Working status,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2008,,211600,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2009,,217174,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2010,,222749,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2011,,233886,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2012,,242796,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2013,,238341,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2014,,240569,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2015,,251706,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2016,,253934,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2017,,256222,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2018,,258531,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2019,,260861,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2020,,263211,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2021,,265583,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2000,,81984,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2001,,84496,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2002,,82630,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2003,,89433,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2004,,89453,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,INLAND,Inland waters fishing,_T,Total,_T,Total,2006,,65330,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,INLAND,Inland waters fishing,_T,Total,_T,Total,2007,,73553,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,INLAND,Inland waters fishing,_T,Total,_T,Total,2008,,70740,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,VNM,Viet Nam,A,Annual,EMP,Employment,PS,Persons,INLAND,Inland waters fishing,_T,Total,_T,Total,2009,,83049,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2013,,144019,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2014,,143421,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2015,,140949,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2016,,132305,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2017,,130645,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2018,,128148,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2019,,126595,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2020,,119828,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,MYS,Malaysia,A,Annual,EMP,Employment,PS,Persons,MARINE_NEI,"Marine fishing, nei",_T,Total,_T,Total,2021,,114979,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2000,,2515,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_EMP@DF_FISH_EMPL(1.0),"Employment in fisheries, aquaculture and processing",I,THA,Thailand,A,Annual,EMP,Employment,PS,Persons,PROC,Processing,_T,Total,_T,Total,2001,,2515,,A,Normal value,,,0,Units,0,Zero,,
